date,cash,position_shares,close,market_value,equity,daily_return,cum_return,running_peak,drawdown,symbol,test_start
2025-03-18,100000.0,0,474.54,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-19,100000.0,0,480.89,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-20,100000.0,0,479.26,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-21,100000.0,0,480.84,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-24,100000.0,0,490.66,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-25,100000.0,0,493.46,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-26,100000.0,0,484.38,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-27,100000.0,0,481.62,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-28,100000.0,0,468.94,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-31,100000.0,0,468.92,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-01,100000.0,0,472.7,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-02,100000.0,0,476.15,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-03,100000.0,0,450.66,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-04,100000.0,0,422.67,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-07,100000.0,0,423.69,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-08,100000.0,0,416.06,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-09,100000.0,0,466.0,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-10,100000.0,0,446.18,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-11,100000.0,0,454.4,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
